time_s,Fp1,Fz,Cz,Pz,P3,P4,O1,O2
0.17578125,3.43,-6.419,-4.652,4.623,-5.194,-5.422,3.183,7.413
0.1796875,2.985,-4.795,-4.662,5.997,-5.461,-2.921,3.681,6.616
0.18359375,2.127,-6.066,-1.92,6.189,-5.756,-3.922,5.661,4.904
0.1875,-0.329,-7.824,0.475,7.499,-7.007,-4.555,5.9,3.316
0.19140625,1.37,-4.744,1.299,6.247,-6.311,0.283,8.515,1.846
0.1953125,-1.965,-6.597,2.365,6.301,-7.285,2.424,5.396,-1.29
0.19921875,-3.395,-5.024,3.681,6.066,-5.715,3.129,6.039,-1.228
0.203125,-3.549,-5.314,2.753,5.687,-7.309,4.363,6.175,-3.976
0.20703125,-5.081,-1.613,6.024,4.183,-5.815,5.058,3.077,-6.146
0.2109375,-5.75,-0.452,5.527,0.673,-4.01,6.949,3.603,-6.465
0.21484375,-6.526,-0.167,7.006,-2.513,-1.578,8.087,0.875,-5.418
0.21875,-5.483,2.019,7.185,-4.108,-2.0,8.8,-0.132,-7.876
0.22265625,-6.475,1.907,6.486,-3.596,2.519,6.819,-1.837,-5.782
0.2265625,-6.738,3.134,4.641,-5.65,1.248,5.79,-4.647,-5.446
0.23046875,-4.787,4.813,4.169,-7.453,0.112,7.038,-4.833,-2.309
0.234375,-1.726,6.578,3.149,-6.308,2.864,3.672,-6.512,0.436
0.23828125,-1.882,7.651,-0.471,-9.114,4.43,3.726,-5.875,0.447
0.2421875,-1.711,5.816,-2.264,-6.075,5.973,3.506,-7.367,2.737
0.24609375,-0.746,8.078,-1.185,-3.309,2.514,1.079,-7.671,3.495
0.25,0.613,6.436,-2.682,-3.501,5.051,0.678,-7.016,4.663
0.25390625,-1.727,4.54,-4.58,-1.251,8.258,-2.062,-5.167,7.004
0.2578125,3.766,4.937,-4.464,-0.757,7.423,-4.419,-5.013,6.081
0.26171875,5.915,2.453,-5.159,1.18,6.404,-2.212,-3.696,8.871
0.265625,3.214,0.466,-5.799,3.579,6.422,-4.19,-0.465,8.695
0.26953125,6.482,-0.705,-7.189,5.161,4.261,-5.361,2.023,8.445
0.2734375,5.982,-3.014,-4.82,5.029,5.481,-5.842,2.091,6.012
0.27734375,4.483,-4.22,-3.924,3.732,0.82,-7.813,5.355,0.328
0.28125,4.218,-2.823,-1.777,5.649,1.784,-8.586,4.588,1.394
0.28515625,6.095,-4.621,-1.236,7.355,1.594,-5.12,7.315,1.426
0.2890625,7.822,-5.999,0.278,4.536,-0.707,-5.499,8.169,-2.864
0.29296875,4.364,-7.84,0.662,4.677,-2.03,-4.139,6.983,-2.718
0.296875,5.619,-7.408,3.688,2.834,-4.785,-1.837,5.587,-4.945
0.30078125,3.236,-5.353,4.859,0.465,-4.357,-2.73,5.69,-5.476
0.3046875,2.999,-5.099,7.495,-2.616,-5.007,-0.099,5.242,-7.894
0.30859375,0.884,-8.021,6.092,-0.737,-8.162,1.302,5.721,-8.568
0.3125,-3.007,-3.484,7.71,-4.678,-9.25,3.044,-0.531,-7.76
0.31640625,-1.538,-2.29,6.821,-3.937,-6.687,2.079,1.197,-5.836
0.3203125,-3.817,-1.384,6.415,-7.389,-5.145,6.689,-0.78,-5.985
0.32421875,-2.307,-0.749,3.791,-5.609,-5.893,5.942,-2.139,-3.012
0.328125,-4.371,2.023,3.631,-7.195,-6.533,7.126,-4.521,0.405
0.33203125,-4.486,2.1,2.956,-3.558,-4.266,5.874,-6.636,0.271
0.3359375,-5.245,3.576,3.949,-5.076,-3.762,6.451,-7.755,3.02
0.33984375,-4.378,2.723,0.463,-4.349,-0.937,6.632,-7.327,5.222
0.34375,-4.767,4.823,-1.992,-0.541,-1.208,7.747,-7.336,5.475
0.34765625,-5.965,4.816,-2.7,-0.864,-0.767,3.549,-4.99,7.032
0.3515625,-5.995,3.576,-6.619,0.917,1.664,3.587,-6.492,7.264
0.35546875,-5.961,7.457,-4.863,1.776,3.366,1.508,-5.845,6.784
0.359375,-4.676,6.996,-8.974,3.182,3.646,0.037,-3.442,5.946
0.36328125,-2.936,7.041,-6.715,4.282,4.027,-1.898,-1.98,6.99
0.3671875,-2.11,3.439,-6.337,4.839,6.665,-0.893,-2.342,3.863
0.37109375,-3.059,5.073,-6.219,6.331,4.289,-4.651,2.023,1.21
0.375,1.012,0.671,-3.662,7.215,9.501,-6.535,4.121,0.472
0.37890625,0.307,-0.332,-3.665,7.5,5.153,-6.067,3.674,-2.034
0.3828125,3.581,-1.229,-5.033,4.355,7.235,-5.261,6.078,-2.128
0.38671875,4.874,-2.085,-0.816,4.361,7.216,-7.552,5.641,-4.821
0.390625,3.426,-3.814,-0.323,4.504,7.925,-7.336,7.87,-7.877
0.39453125,3.573,-4.745,2.11,2.298,4.05,-6.327,7.204,-6.236
0.3984375,4.964,-3.438,2.315,-0.827,2.565,-3.764,7.487,-8.808
0.40234375,5.774,-5.266,6.576,-3.563,2.773,-3.02,5.384,-7.686
0.40625,6.946,-5.21,4.981,-4.45,0.843,-2.347,4.48,-8.317
0.41015625,5.848,-6.722,5.643,-5.31,0.226,-0.777,3.644,-5.962
0.4140625,8.582,-5.309,6.215,-5.585,-0.886,-1.26,1.778,-2.07
0.41796875,5.019,-5.688,2.663,-5.647,-1.597,4.275,1.672,0.905
0.421875,4.266,-5.709,5.166,-6.973,-3.574,3.337,-2.448,0.68
0.42578125,1.867,-1.428,5.592,-4.266,-5.269,4.037,-2.886,1.693
0.4296875,3.541,-3.919,3.152,-4.748,-6.127,5.39,-5.671,4.323
0.43359375,2.553,-3.021,3.453,-1.542,-5.583,6.798,-6.248,5.962
0.4375,-1.518,-1.432,0.67,-2.077,-5.801,8.724,-7.098,7.328
0.44140625,-0.643,1.701,-0.439,0.465,-9.465,7.8,-5.875,6.038
0.4453125,-2.482,2.995,-1.946,3.831,-5.383,6.297,-5.867,9.023
0.44921875,-2.186,2.213,-2.541,4.675,-7.605,4.783,-6.696,5.831
0.453125,-3.443,3.603,-7.397,4.485,-5.159,3.379,-6.399,6.548
0.45703125,-3.633,6.216,-6.569,6.654,-5.976,5.902,-4.526,4.37
0.4609375,-7.827,6.509,-8.196,4.227,-5.582,4.862,-3.577,4.786
0.46484375,-7.118,6.786,-8.553,6.006,-4.268,3.181,-1.061,1.527
0.46875,-6.426,7.47,-6.954,4.934,-0.138,2.124,0.381,-0.901
0.47265625,-5.865,3.973,-6.165,3.693,-0.923,-0.066,3.247,-2.641
0.4765625,-5.56,6.797,-1.98,4.309,1.781,-3.566,3.498,-2.963
0.48046875,-5.08,3.882,-4.087,2.829,4.703,-3.456,5.47,-6.179
0.484375,-3.992,3.751,-2.569,-0.485,3.074,-3.162,6.132,-7.065
0.48828125,-3.012,1.332,-1.526,-2.158,3.684,-6.275,6.978,-7.43
0.4921875,-3.22,-0.449,1.453,-1.959,5.772,-7.407,6.26,-5.637
0.49609375,-2.373,-2.342,3.647,-3.747,4.473,-10.034,5.801,-8.605
0.5,0.033,-3.226,2.177,-3.964,7.977,-9.606,7.829,-8.587
0.50390625,3.5,-2.05,4.335,-7.402,7.841,-4.415,5.058,-2.462
0.5078125,3.031,-4.411,5.425,-5.289,8.047,-6.939,4.692,-1.812
0.51171875,3.391,-5.075,7.387,-5.932,6.235,-5.283,3.343,0.593
0.515625,3.575,-6.33,7.412,-5.057,6.282,-4.566,-0.589,2.118
0.51953125,4.881,-4.845,5.883,-4.521,3.5,-2.657,0.692,3.436
0.5234375,6.216,-3.947,4.0,-3.174,3.312,-1.429,0.462,3.026
0.52734375,5.804,-5.813,5.048,-2.082,4.514,-0.622,-5.476,7.581
0.53125,4.735,-6.947,3.255,-0.227,2.528,1.395,-4.759,5.777
0.53515625,6.687,-2.942,2.413,1.155,-1.408,2.899,-6.179,8.049
0.5390625,4.591,-4.59,-1.51,4.455,-1.99,4.623,-8.212,6.997
0.54296875,4.496,-2.163,0.442,6.782,-0.62,5.604,-8.652,7.974
0.546875,3.968,-0.405,-3.534,4.337,-2.238,7.403,-7.684,4.604
0.55078125,3.636,0.291,-4.498,7.563,-6.303,6.137,-4.97,2.173
0.5546875,0.427,1.697,-6.928,5.857,-5.616,7.177,-6.268,1.731
0.55859375,1.216,2.598,-5.295,6.054,-6.5,8.258,-3.0,-0.172
0.5625,2.183,5.51,-4.813,6.256,-6.738,5.033,-4.374,-3.21
0.56640625,-0.414,4.401,-5.849,4.296,-8.35,4.645,-0.354,-1.728
0.5703125,-2.919,6.98,-6.031,2.071,-7.56,4.886,-0.859,-4.336
0.57421875,-3.284,6.517,-4.883,2.563,-8.467,2.338,1.981,-7.353
0.578125,-3.068,5.861,-3.968,-4.203,-5.604,1.984,4.812,-6.002
0.58203125,-5.472,3.333,-3.432,-1.279,-5.056,-0.146,6.852,-9.15
0.5859375,-5.666,3.46,-3.126,-2.772,-4.873,-1.465,6.072,-6.132
0.58984375,-4.726,4.624,-1.345,-7.851,-3.451,-4.713,7.977,-5.926
0.59375,-4.392,3.893,0.528,-5.693,-1.636,-4.389,7.66,-4.702
0.59765625,-7.999,4.364,4.489,-7.797,-0.511,-4.245,5.795,-3.546
0.6015625,-3.603,1.049,2.857,-7.344,1.711,-9.269,5.993,-2.947
0.60546875,-6.349,0.705,4.462,-2.196,4.055,-8.199,4.072,1.528
0.609375,-2.56,-2.094,5.721,-3.816,4.169,-7.121,3.99,4.248
0.61328125,-1.78,-3.791,4.516,-2.603,3.542,-6.402,1.474,3.644
0.6171875,-3.06,-3.93,7.087,-2.58,5.03,-4.897,-1.304,4.432
0.62109375,-0.685,-5.441,4.185,0.684,7.724,-6.171,-2.108,7.463
0.625,1.526,-4.787,5.345,0.949,5.168,-1.127,-3.341,7.215
0.62890625,2.587,-5.961,3.51,4.47,5.536,-4.491,-1.997,7.983
0.6328125,1.097,-3.992,2.277,5.276,8.718,-2.409,-3.976,5.788
0.63671875,3.309,-4.958,-1.219,3.644,6.858,0.317,-4.365,5.286
0.640625,1.951,-5.531,-0.026,7.884,5.64,2.382,-7.753,3.891
0.64453125,5.781,-5.651,-2.428,6.036,5.182,2.14,-6.729,3.149
0.6484375,7.112,-4.571,-3.849,7.025,4.325,2.197,-6.75,0.189
0.65234375,5.052,-4.153,-5.765,6.315,0.425,5.309,-5.75,-2.904
0.65625,7.107,-0.472,-2.977,4.131,0.316,9.052,-2.155,-3.908
0.66015625,7.206,0.771,-9.394,3.956,0.726,8.76,-3.324,-5.249
0.6640625,5.804,1.809,-6.272,1.674,-1.917,8.825,-2.542,-7.839
0.66796875,5.859,3.184,-5.245,1.842,-2.434,6.56,0.331,-7.765
0.671875,2.843,3.004,-5.522,-1.994,-4.379,6.137,0.288,-4.839
0.67578125,2.319,4.897,-4.863,-2.81,-4.564,4.27,3.848,-6.765
0.6796875,1.613,6.467,-2.844,-4.131,-5.163,4.516,7.354,-6.014
0.68359375,1.699,6.443,-2.375,-6.109,-5.425,3.308,4.936,-5.004
0.6875,0.236,7.569,-2.358,-6.863,-6.842,0.768,5.649,-1.31
0.69140625,-1.996,6.443,-0.575,-9.169,-4.596,1.879,5.091,-2.558
0.6953125,-3.446,4.072,3.94,-6.741,-7.165,-0.256,7.065,0.603
0.69921875,-4.114,4.987,1.872,-4.135,-5.261,-2.894,6.187,3.176
0.703125,-3.106,2.822,4.908,-4.823,-5.819,-5.883,4.082,5.877
0.70703125,-6.536,0.794,6.4,-3.498,-5.97,-6.354,5.968,6.241
0.7109375,-6.23,2.359,7.685,-1.366,-2.728,-6.589,1.737,8.492
0.71484375,-6.025,0.111,8.277,1.315,-3.196,-10.112,0.423,7.092
0.71875,-5.901,0.875,8.457,3.186,-2.351,-8.326,-1.249,7.144
0.72265625,-6.102,-2.026,6.874,4.983,-0.192,-8.104,-4.169,6.79
0.7265625,-5.978,-3.127,4.681,3.644,2.874,-9.124,-3.116,5.56
0.73046875,-5.681,-2.345,2.831,7.448,1.129,-5.06,-4.579,4.724
0.734375,-2.748,-4.621,2.931,7.12,4.949,-4.257,-5.615,1.674
0.73828125,-3.983,-7.915,0.369,6.28,4.359,-3.496,-5.123,0.583
0.7421875,-2.834,-6.185,-2.507,7.194,5.234,-2.383,-5.771,-1.095
0.74609375,-2.656,-6.275,-0.785,2.189,4.207,-0.215,-7.038,-3.576
0.75,-1.264,-6.046,-1.702,2.986,7.458,-1.306,-6.979,-5.757
0.75390625,1.924,-6.824,-3.961,-0.283,9.578,1.326,-7.468,-6.452
0.7578125,3.271,-4.286,-5.862,1.385,6.334,4.265,-5.694,-7.237
0.76171875,4.391,-3.178,-3.496,0.105,4.438,5.573,-3.143,-5.506
0.765625,3.286,-0.919,-5.869,-2.448,6.764,7.178,-0.33,-8.476
0.76953125,5.424,-1.85,-7.096,-4.459,5.038,6.1,1.267,-6.862
0.7734375,5.801,0.297,-3.54,-3.308,0.581,7.864,3.254,-4.306
0.77734375,6.058,2.811,-2.1,-6.559,3.915,4.878,3.37,-3.261
0.78125,6.201,5.777,-2.428,-6.426,1.694,7.355,6.251,-1.872
0.78515625,4.301,3.597,0.652,-7.727,0.408,7.251,6.17,0.425
0.7890625,7.768,3.859,-1.909,-7.51,-2.025,5.602,8.93,5.184
0.79296875,5.087,8.539,-0.325,-2.984,-3.007,2.831,7.987,4.735
0.796875,4.033,6.818,2.022,-2.974,-2.739,4.333,6.392,7.026
0.80078125,3.975,7.181,3.169,-2.471,-5.14,3.681,7.468,6.881
0.8046875,4.877,6.214,4.367,-2.135,-5.505,0.261,5.772,7.957
0.80859375,2.234,3.943,4.999,2.727,-7.577,-2.826,2.715,6.868
0.8125,0.467,6.598,5.842,3.621,-5.549,-2.012,1.075,4.803
0.81640625,-1.178,3.145,6.786,5.049,-5.163,-6.147,0.795,5.494
0.8203125,-2.043,1.23,5.739,5.507,-7.837,-4.404,-0.512,5.354
0.82421875,-3.585,2.524,4.38,5.725,-7.052,-7.454,-2.544,0.553
0.828125,-4.345,-0.125,5.06,6.091,-4.949,-6.27,-2.666,0.649
0.83203125,-5.355,-2.339,5.679,4.893,-5.285,-8.545,-3.936,1.09
0.8359375,-7.192,-2.503,1.265,4.705,-5.941,-6.51,-5.67,-2.442
0.83984375,-6.656,-3.695,-0.667,3.315,-2.456,-8.353,-6.995,-4.37
0.84375,-3.654,-4.533,-0.553,3.309,-1.442,-3.727,-5.791,-3.986
0.84765625,-4.127,-4.87,-4.892,0.985,0.704,-2.05,-6.775,-7.442
0.8515625,-5.676,-5.406,-4.982,0.102,0.113,-0.463,-5.767,-6.11
0.85546875,-3.117,-5.497,-3.692,-2.745,4.024,-2.37,-4.869,-6.661
0.859375,-3.295,-5.635,-6.103,-6.219,1.455,1.032,-4.471,-8.522
0.86328125,-3.935,-3.997,-5.857,-5.086,3.753,1.026,-1.722,-4.667
0.8671875,-4.907,-5.336,-6.363,-7.016,6.149,2.82,-0.972,-4.843
0.87109375,-1.716,-2.294,-3.805,-5.568,5.294,4.933,2.911,-3.773
0.875,-0.125,-2.727,-6.376,-4.246,5.302,6.447,4.26,-2.681
0.87890625,1.859,-1.904,-5.373,-4.86,8.434,5.73,6.643,1.625
0.8828125,4.297,1.218,-4.347,-5.027,7.432,6.096,6.528,2.939
0.88671875,3.66,0.652,-1.738,-3.811,7.451,5.427,7.035,5.743
0.890625,3.831,2.182,-0.638,-0.854,5.247,6.532,7.441,5.889
0.89453125,5.839,1.736,2.027,-1.715,5.805,6.077,7.129,7.688
0.8984375,6.044,5.302,1.768,5.403,3.265,6.582,7.185,7.823
0.90234375,7.934,7.195,4.813,4.579,4.094,4.74,7.308,7.803
0.90625,3.287,5.038,5.106,4.293,2.956,2.633,4.635,6.367
0.91015625,5.889,5.938,6.355,6.775,-1.132,-0.86,4.173,4.481
0.9140625,5.803,6.692,5.766,5.036,-1.091,1.452,2.905,4.583
0.91796875,3.897,6.294,6.108,6.046,-0.851,-0.435,-0.235,3.61
0.921875,3.972,5.447,6.586,7.812,-3.556,-0.52,-3.042,-1.254
0.92578125,2.778,4.704,3.543,6.263,-4.955,-3.063,-4.533,-2.675
0.9296875,2.302,1.29,2.74,5.202,-6.735,-6.837,-2.26,-3.083
0.93359375,1.737,0.923,3.392,1.647,-8.193,-7.618,-3.115,-5.489
0.9375,-1.671,-0.324,1.408,0.349,-5.697,-7.587,-8.787,-8.12
0.94140625,0.042,-1.264,0.109,-1.138,-8.078,-5.072,-8.983,-8.751
0.9453125,-1.617,-0.353,-5.428,-0.569,-2.772,-8.54,-6.846,-7.812
0.94921875,-5.019,-2.645,-2.646,-2.414,-6.821,-4.907,-6.563,-7.3
0.953125,-5.578,-3.781,-3.791,-4.011,-5.775,-6.008,-6.025,-5.366
0.95703125,-5.817,-5.854,-4.902,-7.548,-6.825,-5.475,-4.118,-6.426
0.9609375,-4.086,-5.466,-5.867,-7.421,-3.944,-3.782,-3.71,-2.794
0.96484375,-6.363,-7.911,-4.672,-7.908,-2.803,-1.18,-1.187,-1.945
0.96875,-5.919,-5.017,-7.705,-5.375,-2.843,-0.451,-0.676,1.864
0.97265625,-7.412,-5.354,-4.807,-5.47,-3.143,1.551,1.074,3.079
0.9765625,-5.962,-4.931,-2.022,-5.076,3.546,2.716,1.854,5.118
0.98046875,-5.17,-2.633,-4.685,-2.102,0.864,4.385,6.142,8.052
0.984375,-2.554,-3.927,-2.575,-1.997,5.598,4.781,6.473,7.183
0.98828125,-2.621,-3.328,-0.821,0.639,4.444,7.583,7.0,7.764
0.9921875,-2.691,-0.793,-2.192,4.271,5.34,6.984,7.251,6.208
0.99609375,-1.04,1.705,4.578,1.99,4.569,5.141,10.309,4.886
1.0,-0.818,4.24,4.246,6.039,5.72,6.087,10.258,6.518
1.00390625,0.306,2.359,5.428,7.058,6.345,8.354,6.466,2.708
1.0078125,1.444,3.944,6.804,4.185,4.122,7.988,3.731,1.454
1.01171875,5.022,4.892,7.053,7.899,7.467,6.719,1.581,1.333
1.015625,3.565,4.436,5.286,6.082,7.577,3.954,0.885,-0.951
1.01953125,2.862,5.219,7.385,6.164,2.941,1.121,0.856,-3.812
1.0234375,5.004,6.078,5.063,3.872,3.204,0.308,-2.097,-4.318
1.02734375,4.848,5.725,4.846,-0.231,2.677,-0.102,-3.119,-6.236
1.03125,7.48,4.84,2.971,0.944,0.152,0.586,-4.823,-5.807
1.03515625,5.403,4.536,3.134,-1.578,-0.366,-2.348,-4.787,-7.524
1.0390625,5.224,5.258,0.491,-4.727,0.441,-5.016,-6.086,-6.604
1.04296875,6.007,1.906,0.793,-5.49,-3.006,-5.095,-6.033,-7.141
1.046875,3.92,2.916,-3.756,-5.149,-1.675,-6.363,-7.154,-5.453
1.05078125,0.957,0.428,-5.024,-6.6,-4.853,-7.539,-3.418,-2.138
1.0546875,3.546,-1.67,-4.878,-6.087,-4.455,-7.06,-5.678,-1.618
1.05859375,3.987,-4.341,-6.017,-7.164,-7.119,-6.669,-5.218,0.333
1.0625,2.141,-3.83,-4.518,-3.357,-6.263,-6.733,-1.831,2.605
1.06640625,-1.924,-3.591,-4.428,-4.929,-5.084,-2.616,-1.454,6.275
1.0703125,-1.7,-5.578,-6.735,-3.129,-7.489,-5.844,1.026,6.336
1.07421875,-6.704,-5.92,-4.912,-0.705,-3.736,-1.395,3.198,5.646
1.078125,-3.92,-4.14,-3.85,0.682,-6.241,0.463,4.759,7.951
1.08203125,-5.291,-6.415,-2.363,1.814,-5.221,-0.453,6.415,8.482
1.0859375,-4.469,-5.945,-1.271,4.007,-2.109,0.21,5.619,7.468
1.08984375,-5.82,-2.93,2.606,5.823,-3.987,5.21,6.085,4.992
1.09375,-7.4,-3.22,1.566,4.732,-1.599,2.283,8.834,1.411
1.09765625,-6.53,-4.31,1.855,5.428,-1.239,6.561,7.862,2.793
1.1015625,-4.682,-1.343,4.517,6.597,-0.2,5.452,5.756,1.764
1.10546875,-3.918,-2.146,7.396,4.822,1.849,6.524,4.052,-2.564
1.109375,-5.581,2.524,5.45,5.673,4.577,6.793,3.983,-2.244
1.11328125,-3.339,1.105,5.432,2.087,4.675,8.034,1.044,-7.298
1.1171875,-4.413,3.845,5.103,3.366,5.606,5.847,0.009,-6.256
1.12109375,0.492,4.922,7.048,1.605,8.359,5.273,-0.22,-6.763
1.125,-0.328,4.694,5.035,-3.067,5.081,4.31,-2.729,-8.183
1.12890625,1.551,7.314,3.758,-2.76,7.367,3.258,-6.131,-5.957
1.1328125,2.979,6.72,4.915,-5.255,7.924,1.211,-5.617,-5.877
1.13671875,3.069,6.166,-0.481,-6.19,6.373,0.697,-7.392,-6.58
1.140625,5.462,5.64,1.049,-5.093,5.454,-1.144,-7.931,-5.053
1.14453125,6.36,4.717,-1.818,-4.645,6.203,-3.546,-7.643,-1.823
1.1484375,5.252,0.457,-2.931,-4.793,3.742,-4.46,-7.934,1.741
1.15234375,5.608,1.833,-4.759,-4.159,4.083,-6.597,-5.248,2.606
1.15625,7.476,-1.414,-4.556,-5.153,3.816,-4.137,-5.204,5.704
1.16015625,5.713,1.272,-6.355,-3.929,-2.099,-5.68,-2.826,3.798
1.1640625,5.929,1.311,-5.811,-4.689,-0.015,-7.419,0.338,5.441
1.16796875,3.834,-2.152,-8.479,0.584,-2.387,-6.002,-2.141,6.225
1.171875,6.296,-1.542,-4.724,3.714,-4.071,-6.1,1.729,7.71
1.17578125,5.19,-5.527,-7.584,3.579,-3.738,-7.89,3.151,6.307
1.1796875,1.932,-5.566,-3.089,2.566,-5.344,-5.516,5.938,5.335
1.18359375,-0.642,-6.258,-1.596,5.941,-3.209,-1.477,7.499,4.715
1.1875,0.314,-5.184,-1.885,7.887,-6.702,-1.789,6.142,3.738
1.19140625,-1.886,-5.875,1.55,5.756,-7.4,-0.608,5.236,0.438
1.1953125,-2.918,-4.239,1.731,4.77,-7.27,2.871,5.885,-1.241
1.19921875,-2.558,-6.837,2.677,6.318,-9.291,1.426,7.179,-4.985
1.203125,-2.286,-3.801,3.024,0.543,-5.373,7.369,4.959,-1.68
1.20703125,-5.692,-3.122,5.956,3.182,-4.164,4.04,5.168,-5.722
1.2109375,-4.222,-3.276,6.76,-0.014,-5.402,4.858,3.473,-7.4
1.21484375,-6.049,-0.554,7.184,-2.138,-1.943,8.605,1.496,-8.626
1.21875,-4.96,0.895,4.885,-2.053,0.623,7.029,-0.144,-8.003
1.22265625,-4.474,3.865,4.78,-4.608,2.413,8.027,-3.097,-8.389
1.2265625,-5.198,4.061,3.239,-5.204,-1.581,7.197,-5.324,-5.721
1.23046875,-7.102,4.947,3.383,-6.609,2.138,5.302,-4.506,-5.723
1.234375,-4.291,6.581,2.562,-5.338,2.303,6.203,-8.283,-1.757
1.23828125,-3.373,6.812,0.178,-4.498,4.784,1.944,-6.822,1.062
1.2421875,-2.807,7.155,-2.462,-5.113,6.9,2.004,-6.603,1.231
1.24609375,-0.688,6.379,-3.451,-3.42,7.007,1.361,-5.61,5.356
1.25,-0.86,6.194,-4.419,-4.944,7.427,-0.315,-5.578,5.71
1.25390625,3.253,4.1,-4.753,-3.656,5.345,-1.829,-5.741,6.373
1.2578125,1.631,5.553,-5.476,-0.429,4.577,-3.798,-5.331,3.585
1.26171875,3.889,3.183,-7.163,3.054,5.142,-5.395,-1.342,6.625
1.265625,4.23,1.152,-5.468,1.934,6.042,-6.196,-1.195,8.249
1.26953125,6.609,0.796,-7.829,4.737,4.874,-5.693,2.794,6.324
1.2734375,5.645,-0.907,-4.992,6.828,5.047,-5.424,1.574,3.402
1.27734375,7.399,-2.422,-5.274,6.13,4.803,-8.466,3.789,2.657
1.28125,5.172,-2.898,-3.423,10.164,1.635,-6.584,4.039,1.707
1.28515625,6.474,-4.598,-1.101,5.577,-0.126,-6.584,6.839,0.656
1.2890625,4.691,-4.419,-0.23,5.481,-1.3,-6.206,5.897,-1.128
1.29296875,5.671,-5.516,1.63,4.726,-4.3,-4.615,7.402,-3.195
1.296875,5.061,-6.404,2.836,3.027,-1.17,-0.674,7.911,-6.555
1.30078125,3.843,-5.768,4.727,2.742,-4.005,1.743,5.66,-7.377
